date,flow_cfs
2017-04-23,137
2017-04-24,128
2017-04-25,120
2017-04-26,116
2017-04-27,112
2017-04-28,111
2017-04-29,114
2017-04-30,118
2017-05-01,111
2017-05-02,111
2017-05-03,257
2017-05-04,360
2017-05-05,139
2017-05-06,121
2017-05-07,117
2017-05-08,113
2017-05-09,111
2017-05-10,110
2017-05-11,107
2017-05-12,115
2017-05-13,108
2017-05-14,106
2017-05-15,106
2017-05-16,102
2017-05-17,98.5
2017-05-18,101
2017-05-19,105
2017-05-20,110
2017-05-21,232
2017-05-22,1640
2017-05-23,271
2017-05-24,274
2017-05-25,147
2017-05-26,127
2017-05-27,119
2017-05-28,127
2017-05-29,2130
2017-05-30,293
2017-05-31,209
2017-06-01,425
2017-06-02,508
2017-06-03,342
2017-06-04,3330
2017-06-05,1640
2017-06-06,577
2017-06-07,364
2017-06-08,
2017-06-09,216
2017-06-10,174
2017-06-11,159
2017-06-12,151
2017-06-13,150
2017-06-14,135
2017-06-15,125
2017-06-16,119
2017-06-17,121
2017-06-18,115
2017-06-19,112
2017-06-20,114
2017-06-21,134
2017-06-22,354
2017-06-23,172
2017-06-24,1090
2017-06-25,1930
2017-06-26,636
2017-06-27,845
2017-06-28,356
2017-06-29,286
2017-06-30,218
2017-07-01,173
2017-07-02,153
2017-07-03,137
2017-07-04,131
2017-07-05,122
2017-07-06,147
2017-07-07,134
2017-07-08,180
2017-07-09,146
2017-07-10,403
2017-07-11,157
2017-07-12,133
2017-07-13,135
2017-07-14,132
2017-07-15,728
2017-07-16,347
2017-07-17,487
2017-07-18,396
2017-07-19,398
2017-07-20,271
2017-07-21,182
2017-07-22,178
2017-07-23,218
2017-07-24,150
2017-07-25,137
2017-07-26,129
2017-07-27,120
2017-07-28,117
2017-07-29,116
2017-07-30,111
2017-07-31,106
2017-08-01,107
2017-08-02,1250
2017-08-03,594
2017-08-04,276
2017-08-05,246
2017-08-06,214
2017-08-07,480
2017-08-08,4950
2017-08-09,1220
2017-08-10,575
2017-08-11,381
2017-08-12,294
2017-08-13,217
2017-08-14,180
2017-08-15,160
2017-08-16,143
2017-08-17,135
2017-08-18,124
2017-08-19,124
2017-08-20,124
2017-08-21,118
2017-08-22,146
2017-08-23,148
2017-08-24,137
2017-08-25,725
2017-08-26,8400
2017-08-27,
2017-08-28,26100
2017-08-29,12200
2017-08-30,2390
2017-08-31,1270
2017-09-01,781
2017-09-02,545
2017-09-03,455
2017-09-04,401
2017-09-05,352
2017-09-06,359
2017-09-07,298
2017-09-08,268
2017-09-09,239
2017-09-10,217
2017-09-11,179
2017-09-12,147
2017-09-13,141
2017-09-14,127
2017-09-15,134
2017-09-16,131
