port,in($)_1,in($)_2,in($)_3,in($)_4,in($)_5,in($)_6,in($)_7,in($)_8,out($)_1,out($)_2,out($)_3,out($)_4,out($)_5,out($)_6,out($)_7,out($)_8,county_geocoder,latitude,longitude,ll_county,county
"Great Falls, MT",,,8271,330823,,,,,,29420,537786,,431453,63519,305569,39112,Cascade County,47.48219,-111.269984,Cascade,Cascade
"Green Bay, WI",,,,,,,2971365,,,,16522,,,,,57185173,Brown County,44.475864,-88.055172,Brown,Brown
"Greenville-Spartansburg, SC",,,953,8581,,,,71338,,,,,,,,,Greenville County,34.872685,-82.2286356,Greenville,Greenville
"Gulfport, MS",,,253043016,441400,1049520,175654,1241423,648965,60480,417780,204147908,3095366,101810470,3571793,23329893,76664,Harrison County,30.368598,-89.093577,Harrison,Harrison
"Hannah, ND",,35494,,,,,,,,,,,,,,,Cavalier County,48.99931,-98.6945381,Cavalier,Cavalier
"Hansboro, ND",,,4598834,,,,,,3198,,138574,,,,,,Towner County,48.9981385,-99.3484211,Towner,Towner
"Harrisburg, PA",,,,,,,,,,,,,,,29358,,Dauphin County,40.2640805,-76.8794826,Dauphin,Dauphin
"Hartford, CT",,,2430,,,,,,,,,,3725,,,,Hartford County,41.7480081,-72.6430661,Hartford,Hartford
"Highgate Springs-Alburg, VT",18641872,28937003,43358185,31370357,5949570,26367926,261427404,18864044,1571586,,8429420,1398549,16894601,28645760,59456709,1472814,Franklin County,45.0128851,-73.0854626,Franklin,Franklin
"Hildago, TX",39296712,6257015,1826533792,712329,1096006,116854015,327608741,3431514,1275254,25753617,228697263,23036616,285008012,6529008,70238299,18196680,Hidalgo County,26.0968854,-98.2699052,Hidalgo,Hidalgo
"Hilo, HI",,,,,,,,,,,7867,,,,,27814,Hawaii County,19.7285403,-155.0540889,Hawaii,Hawaii
"Honolulu International Airport, HI",657020,2687,14249012,878279,13229004,338205,4074662,107993,442757,88067,15288618,1163282,19891352,482323,14520265,1297822,Honolulu County,21.3245132,-157.9250736,Honolulu,Honolulu
"Honolulu, HI",,9832228,16150673,2823224,43837903,16231445,32210943,47265034,,101436,6927447,696485,121335,577633,17991508,25134931,Honolulu County,21.3013326,-157.8651304,Honolulu,Honolulu
"Houlton, ME",3102349,854867,105336131,3874648,956622201,26873862,187739127,4118516,1935488,100659,69156346,7308511,109661336,8959265,25500587,8654841,Aroostook County,46.134631,-67.7825761,Aroostook,Aroostook
"Houston Intercontinental Airport, TX",3931729,19520,5497797,8133648,16442599,132743,11315019,464957,7571951,252960,5042995,4513506,1516766,924476,14734762,438703,Harris County,29.9902199,-95.3367827,Harris,Harris
"Houston, TX",,46942453,714970554,106965169,453519765,79911431,3630754293,1488276164,69358,1111487371,818956999,108902160,787982492,92094453,1032972224,509299654,Harris County,29.7700369,-95.2945694,Harris,Harris
"Huntsville, AL",,,105243,17968,,2092,9174025,2423,,,542785,4701887,15776,15697,2520283,48068,Madison County,34.6483274,-86.7748408,Madison,Madison
"Huron, OH",,,,,,,,,2753,10631,102228,87300,,74508,120473,58674,Madison County,34.6483274,-86.7748408,Madison,Madison
"Indianapolis, IN",,,12379,41014,6653,,358107,,13013666,,41796,565880,,,15924,20809,Marion County,39.7689961,-86.161358,Marion,Marion
"International Falls-Ranier, MN",,309530535,14827078,61117680,249800,102132378,498185293,503462,,7600875,71174647,208215663,206069,8994870,84083632,152465641,Koochiching County,48.6055421,-93.4029212,Koochiching,Koochiching
