HS_SIX	SCTG_TWO	SCTG_GROUP	NOTES
080720	03	01-05	
080810	03	01-05	
080830	03	01-05	
080840	03	01-05	
080910	03	01-05	
080921	03	01-05	
080929	03	01-05	
080930	03	01-05	
080940	03	01-05	
081010	03	01-05	
081020	03	01-05	
081030	03	01-05	
081040	03	01-05	
081050	03	01-05	
081060	03	01-05	
081070	03	01-05	
081090	03	01-05	
081110	07	06-09	
081120	07	06-09	
081190	07	06-09	
081210	07	06-09	
081290	07	06-09	
081310	03	01-05	
081320	03	01-05	
081330	03	01-05	
081340	03	01-05	
081350	03	01-05	
081400	07	06-09	
090111	03	01-05	
090112	07	06-09	
090121	07	06-09	
090122	07	06-09	
090190	07	06-09	A
090210	07	06-09	
090220	07	06-09	
090230	07	06-09	
090240	07	06-09	
090300	07	06-09	
090411	07	06-09	
090412	07	06-09	
090421	07	06-09	
090422	07	06-09	
090510	07	06-09	
090520	07	06-09	
090611	07	06-09	
090619	07	06-09	
090620	07	06-09	
090710	07	06-09	
090720	07	06-09	
090811	07	06-09	
090812	07	06-09	
090821	07	06-09	
090822	07	06-09	
090831	07	06-09	
090832	07	06-09	
090921	07	06-09	
090922	07	06-09	
090931	07	06-09	
090932	07	06-09	
090961	07	06-09	
090962	07	06-09	
091011	07	06-09	
091012	07	06-09	
091020	07	06-09	
091030	07	06-09	
091091	07	06-09	
091099	07	06-09	
100111	02	01-05	
100119	02	01-05	
100191	02	01-05	
100199	02	01-05	
100210	02	01-05	
100290	02	01-05	
100310	02	01-05	
100390	02	01-05	
100410	02	01-05	
100490	02	01-05	
100510	02	01-05	
100590	02	01-05	
100610	02	01-05	
100620	02	01-05	
100630	02	01-05	
100640	02	01-05	
100710	02	01-05	
100790	02	01-05	
100810	02	01-05	
100821	02	01-05	
100829	02	01-05	
100830	02	01-05	
100840	02	01-05	
100850	02	01-05	
100860	02	01-05	
100890	02	01-05	
110100	06	06-09	
110220	06	06-09	
110290	06	06-09	
110311	06	06-09	
110313	06	06-09	
110319	06	06-09	
110320	06	06-09	
110412	06	06-09	
110419	06	06-09	
110422	06	06-09	
110423	06	06-09	
110429	06	06-09	
110430	06	06-09	
110510	06	06-09	
110520	06	06-09	
110610	06	06-09	
110620	06	06-09	
110630	06	06-09	
110710	06	06-09	
110720	06	06-09	
110811	06	06-09	
110812	06	06-09	
110813	06	06-09	
110814	06	06-09	
110819	06	06-09	
110820	06	06-09	
110900	06	06-09	
120110	03	01-05	
120190	03	01-05	
120230	03	01-05	
120241	03	01-05	
120242	03	01-05	
120300	03	01-05	
120400	03	01-05	
120510	03	01-05	
120590	03	01-05	
120600	03	01-05	
120710	03	01-05	
120721	03	01-05	
120729	03	01-05	
120730	03	01-05	
120740	03	01-05	
120750	03	01-05	
120760	03	01-05	
120770	03	01-05	
120791	03	01-05	
120799	03	01-05	
120810	07	06-09	
120890	07	06-09	
120910	03	01-05	
120921	03	01-05	
120922	03	01-05	
120923	03	01-05	
120924	03	01-05	
120925	03	01-05	
120929	03	01-05	
120930	03	01-05	
120991	03	01-05	
120999	03	01-05	
121010	03	01-05	
121020	03	01-05	
121120	03	01-05	
121130	03	01-05	
121140	03	01-05	
121190	03	01-05	
121221	03	01-05	
121229	03	01-05	
121291	03	01-05	
121292	03	01-05	
121293	03	01-05	
121294	03	01-05	
