Port,Commodity,Total Exports Value ($US),Vessel Total Exports Value ($US),Vessel Total Exports SWT (kg),Air Total Exports Value ($US),Air Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US),Containerized Vessel Total Exports SWT (kg)
"Long Beach, CA (Port)",1213 Cereal Straw & Husks Unprep W/n Chop Etc Or Pellet,114324,114324,216256,,,100000,109000
"Long Beach, CA (Port)","1214 Rutabagas, Hay, Clover & Other Forage Products",156085414,156085414,506845261,,,96280621,295080900
"Long Beach, CA (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",4761678,4761678,797590,,,4371393,693077
"Long Beach, CA (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,36457546,36457546,3119536,,,30444226,2407189
"Long Beach, CA (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",12862,12862,2302,,,12862,2302
"Long Beach, CA (Port)",1404 Vegetable Products Nesoi,805910,805910,1070615,,,656659,812320
"Long Beach, CA (Port)","1501 Pig Fat And Poultry Fat Other Than Head 0209, 1503",218247,218247,297585,,,156057,159416
"Long Beach, CA (Port)",1503 Lard Stearin/lard Oil/etc Nt Emulsified Or Preprd,6822,6822,3048,,,,
"Long Beach, CA (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",4515711,4515711,414355,,,3639945,369242
"Long Beach, CA (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,332340,332340,138547,,,306967,133023
"Long Beach, CA (Port)",1506 Animal Fat & Oil & Fraction Nesoi Nt Chem Modified,1133588,1133588,3240221,,,1129952,3228390
"Long Beach, CA (Port)","1507 Soybean Oil & Its Fractions, Not Chemic Modified",3226434,3226434,1370207,,,2660160,1171255
"Long Beach, CA (Port)","1508 Peanut Oil & Its Fractions, Not Chemicaly Modified",36982,36982,11979,,,33781,11074
"Long Beach, CA (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",330927,330927,127490,,,225984,89462
"Long Beach, CA (Port)",1510 Olive-residue Oil & Blends (1509&1510) Nt Chem Mod,182760,182760,409892,,,182760,409892
"Long Beach, CA (Port)","1511 Palm Oil & Its Fractions, Not Chemically Modified",133296,133296,165276,,,129656,164479
"Long Beach, CA (Port)","1512 Sunfl-seed, Safflow Or Cottonsd Oil Etc, No Ch Mod",2271673,2271673,3407919,,,832149,1109046
"Long Beach, CA (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",3180846,3180846,2901025,,,3103736,2810216
"Long Beach, CA (Port)","1514 Rapeseed, Colza Or Mustard Oil Etc, Not Chem Modif",797035,797035,857989,,,732245,768985
"Long Beach, CA (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",9873601,9873601,6868308,,,7913306,5681363
"Long Beach, CA (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",1124394,1124394,419679,,,902315,269989
"Long Beach, CA (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,4445532,4445532,3528849,,,4426773,3523829
"Long Beach, CA (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,987764,987764,375916,,,817753,313673
"Long Beach, CA (Port)","1520 Glycerol (glycerine), Glycerol Waters And Lyes",150037,150037,131903,,,43908,19432
"Long Beach, CA (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",2549889,2549889,849536,,,2077727,737028
"Long Beach, CA (Port)",1522 Degras; Residues From Fatty Substncs/anml/veg Waxs,23938,23938,4782,,,23938,4782
"Long Beach, CA (Port)","1601 Sausages, Similar Prdt Meat Etc Food Prep Of These",48404289,48404289,14544383,,,45395444,13539795
"Long Beach, CA (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",19316546,19316546,7618258,,,16942500,6545294
"Long Beach, CA (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",278879,278879,52754,,,278879,52754
"Long Beach, CA (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,3171876,3171876,795641,,,1745944,450878
"Long Beach, CA (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",9153266,9153266,958767,,,7749976,745055
"Long Beach, CA (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",4080211,4080211,2840810,,,3729155,2501075
"Long Beach, CA (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",79915170,79915170,72615186,,,72407706,67411202
"Long Beach, CA (Port)",1703 Molasses From The Extraction Or Refining Of Sugar,70811,70811,397294,,,62624,363342
"Long Beach, CA (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",22016516,22016516,6749139,,,18242431,5654282
"Long Beach, CA (Port)","1802 Cocoa Shells, Husks, Skins And Other Cocoa Waste",5099,5099,538,,,5099,538
"Long Beach, CA (Port)","1803 Cocoa Paste, Defatted Or Not",300486,300486,70693,,,300486,70693
"Long Beach, CA (Port)","1804 Cocoa Butter, Fat And Oil",44614,44614,12977,,,41614,12636
"Long Beach, CA (Port)","1805 Cocoa Powder, Not Sweetened",111526,111526,42486,,,86806,31615
"Long Beach, CA (Port)",1806 Chocolate & Other Food Products Containing Cocoa,75963241,75963241,21364738,,,67303480,19140505
"Long Beach, CA (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,85041114,85041114,34454286,,,78138392,29880947
"Long Beach, CA (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",2848678,2848678,1375687,,,2823158,1365378
"Long Beach, CA (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",11415102,11415102,5075580,,,8089002,3397822
"Long Beach, CA (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",75038838,75038838,27883360,,,69008373,25750693
"Long Beach, CA (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",3013071,3013071,2879456,,,2762099,2720869
"Long Beach, CA (Port)",2002 Tomatoes Prepared Or Preserved Nesoi,29072307,29072307,40237475,,,16590972,21960670
"Long Beach, CA (Port)",2003 Mushrooms And Truffles Prepared Or Preserved Nesoi,116301,116301,56151,,,,
"Long Beach, CA (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",1307971,1307971,907035,,,839436,536413
"Long Beach, CA (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",19952852,19952852,11404751,,,16407629,10417041
"Long Beach, CA (Port)","2006 Veg/fruit/nuts/fruit-peel Etc, Preserved By Sugar",235708,235708,61971,,,17780,10663
"Long Beach, CA (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",4910931,4910931,2392053,,,4192221,2044845
"Long Beach, CA (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",73112807,73112807,20945916,,,63262960,17731723
"Long Beach, CA (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,34215090,34215090,19713607,,,31385408,18094502
"Long Beach, CA (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",18955116,18955116,3795494,,,12022646,2701635
"Long Beach, CA (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,4610119,4610119,1818628,,,4101458,1712877
"Long Beach, CA (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",63117664,63117664,34970808,,,58567402,32189192
"Long Beach, CA (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",3117252,3117252,1496006,,,2589935,1119869
"Long Beach, CA (Port)","2105 Ice Cream And Other Edible Ice, With Cocoa Or Not",5456068,5456068,2417898,,,4025873,1648719
"Long Beach, CA (Port)",2106 Food Preparations Nesoi,363007238,363007238,50649122,,,299638980,33836422
"Long Beach, CA (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",9309092,9309092,30660865,,,8318041,27162599
"Long Beach, CA (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",52880281,52880281,58116470,,,42327980,48649437
"Long Beach, CA (Port)",2203 Beer Made From Malt,22178188,22178188,40454474,,,19656982,36191251
"Long Beach, CA (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,30906415,30906415,4784514,,,27101609,4118320
"Long Beach, CA (Port)",2205 Vermouth & Oth Wine Of Fresh Grapes Spec Flavored,1182881,1182881,298709,,,1073165,236878
"Long Beach, CA (Port)","2206 Fermented Beverages Nesoi (cider, Perry, Mead Etc)",706340,706340,385029,,,470122,253169
"Long Beach, CA (Port)","2207 Ethyl Alcohol, Undenat, Nun80% Alc; Alcohol, Denat",363839,363839,242949,,,293653,218721
"Long Beach, CA (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",19999262,19999262,7195237,,,14687797,4345668
"Long Beach, CA (Port)",2209 Vinegar & Substitutes For Vinegar From Acetic Acid,1542852,1542852,2184932,,,947029,1208779
"Long Beach, CA (Port)","2301 Flour, Meal Etc Of Meat Etc, Not For Human; Greavs",27412089,27412089,51744649,,,18633136,34995220
"Long Beach, CA (Port)","2302 Bran, Sharps Etc From Working Cereals & Leg Plants",18566032,18566032,64136339,,,18551541,63935087
"Long Beach, CA (Port)",2303 Residues Of Starch Mfr Or Sugar Mfr Or Brewing Etc,378224809,378224809,1160780354,,,266542204,773970174
"Long Beach, CA (Port)","2304 Soybean Oilcake & Oth Solid Residue, Wh/not Ground",35459175,35459175,59012271,,,34290036,58187319
"Long Beach, CA (Port)","2306 Oilcake Etc Nesoi, From Veg Fats & Oils Nesoi",9313439,9313439,29489802,,,8802987,28030341
"Long Beach, CA (Port)",2307 Wine Lees; Argol,67964,67964,77180,,,67964,77180
"Long Beach, CA (Port)","2308 Veg Material, Waste Etc For Feeding Animals Nesoi",12309463,12309463,33771357,,,11368908,31937911
"Long Beach, CA (Port)",2309 Preparations Used In Animal Feeding,402247119,402247119,294288640,,,300102047,223405612
"Long Beach, CA (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",718643,718643,195435,,,718643,195435
"Long Beach, CA (Port)","2402 Cigars, Cigarettes Etc., Of Tobacco Or Substitutes",1836723,1836723,149310,,,1793420,147089
"Long Beach, CA (Port)",2403 Tobacco & Tobacco Subst Mfrs Nesoi; Tob Proces Etc,146973,146973,32743,,,146973,32743
"Long Beach, CA (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,547960158,547960158,191159942,,,543480520,189252057
"Long Beach, CA (Port)",4102 Raw Skins Of Sheep Or Lambs Nesoi,883281,883281,203753,,,883281,203753
"Long Beach, CA (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),2194428,2194428,696728,,,2052364,653327
"Long Beach, CA (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",145840601,145840601,34796636,,,143917692,34201813
"Long Beach, CA (Port)","4106 Other Animal N Leather, No Hair Nesoi",17680,17680,3202,,,7700,2794
"Long Beach, CA (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",1841591,1841591,138406,,,614220,78892
"Long Beach, CA (Port)","4112 Sheep/lamb Ltr,ft Prp Tan/crus, W/o Wool,nt Hd4114",13442,13442,77,,,13442,77
"Long Beach, CA (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",415127,415127,28308,,,324613,23758
"Long Beach, CA (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",1728022,1728022,1190679,,,1728022,1190679
"Long Beach, CA (Port)","5101 Wool, Not Carded Or Combed",6312835,6312835,1938191,,,6242669,1916032
"Long Beach, CA (Port)","5107 Yarn Of Combed Wool, Not Put Up For Retail Sale",593860,593860,44738,,,593860,44738
"Long Beach, CA (Port)","5108 Yarn Of Fine Animal Hair, Not For Retail Sale",97238,97238,2414,,,5850,543
"Long Beach, CA (Port)","5109 Yarn Of Wool Or Fine Animal Hair, For Retail Sale",22906,22906,524,,,18456,298
"Long Beach, CA (Port)",5111 Woven Fabrics Of Carded Wool Or Fine Animal Hair,22534,22534,1234,,,22534,1234
"Long Beach, CA (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,7391,7391,214,,,7391,214
"Long Beach, CA (Port)","5201 Cotton, Not Carded Or Combed",974109226,974109226,450429725,,,955489965,442818106
"Long Beach, CA (Port)",5202 Cotton Waste (including Yarn Waste Etc.),1634133,1634133,4665509,,,1609407,4661300
"Long Beach, CA (Port)","5203 Cotton, Carded Or Combed",6740,6740,454,,,6740,454
"Long Beach, CA (Port)","5204 Cotton Sewing Thread, Retail Packed Or Not",42238,42238,2208,,,42238,2208
"Long Beach, CA (Port)",5205 Cotton Yarn (not Sewing Thread) Nu85%cot No Retail,10591507,10591507,1358149,,,10509612,1341639
"Long Beach, CA (Port)",5206 Cotton Yarn (not Sewing Thread) Un85%cot No Retail,2699190,2699190,478199,,,2597045,460769
"Long Beach, CA (Port)",5207 Cotton Yarn (not Sewing Thread) Retail Packed,124365,124365,15311,,,85669,13537
"Long Beach, CA (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",3210315,3210315,214456,,,1139380,67372
"Long Beach, CA (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",931787,931787,134744,,,432660,80663
"Long Beach, CA (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",174295,174295,9213,,,43033,3801
"Long Beach, CA (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",386910,386910,47485,,,202660,25442
"Long Beach, CA (Port)",5212 Woven Cotton Fabrics Nesoi,3356,3356,35,,,3356,35
"Long Beach, CA (Port)","5303 Jute & Oth Text Bast Fib Nesoi, Raw Etc & Tow Etc",65666,65666,118789,,,61766,103090
"Long Beach, CA (Port)",5306 Flax Yarn,5504,5504,612,,,5504,612
"Long Beach, CA (Port)",5309 Woven Fabrics Of Flax,107994,107994,9052,,,42950,3083
"Long Beach, CA (Port)",5310 Woven Fabrics Of Jute Or Oth Text Bast Fiber Nesoi,15207,15207,1123,,,15207,1123
"Long Beach, CA (Port)",5311 Wov Fab Of Ot Veg Textile Fib Wov Fab Of ppr Yarn,66572,66572,12123,,,66572,12123
"Los Angeles International Airport, CA (Port)","0101 Horses, Asses, Mules And Hinnies, Live",62144545,,,62144545,309591,,
"Los Angeles International Airport, CA (Port)","0103 Swine, Live",2078007,,,2078007,142004,,
"Los Angeles International Airport, CA (Port)","0104 Sheep And Goats, Live",69500,,,69500,33619,,
"Los Angeles International Airport, CA (Port)","0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live",3146800,,,3146800,11760,,
"Los Angeles International Airport, CA (Port)","0106 Animals, Live, Nesoi",10821525,,,10821525,194504,,
"Los Angeles International Airport, CA (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",3119829,,,3119829,217299,,
"Los Angeles International Airport, CA (Port)","0202 Meat Of Bovine Animals, Frozen",458501,,,458501,49007,,
"Los Angeles International Airport, CA (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",468888,,,468888,100203,,
"Los Angeles International Airport, CA (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",997827,,,997827,391527,,
"Los Angeles International Airport, CA (Port)","0208 Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen",12744,,,12744,4754,,
"Los Angeles International Airport, CA (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",319399,,,319399,76694,,
"Los Angeles International Airport, CA (Port)","0301 Fish, Live",11484709,,,11484709,2799276,,
"Los Angeles International Airport, CA (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",586291,,,586291,135174,,
"Los Angeles International Airport, CA (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",195177,,,195177,46534,,
"Los Angeles International Airport, CA (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",2779121,,,2779121,393228,,
"Los Angeles International Airport, CA (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",588411,,,588411,99465,,
"Los Angeles International Airport, CA (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,13499424,,,13499424,915105,,
"Los Angeles International Airport, CA (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,1542941,,,1542941,180282,,
"Los Angeles International Airport, CA (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,10454026,,,10454026,997061,,
"Los Angeles International Airport, CA (Port)","0402 Milk And Cream, Concentrated Or Sweetened",242996,,,242996,95447,,
"Los Angeles International Airport, CA (Port)","0403 Buttermilk, Yogurt, Kephir Etc, Flavord Etc Or Not",642050,,,642050,190254,,
"Los Angeles International Airport, CA (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",334519,,,334519,173975,,
"Los Angeles International Airport, CA (Port)",0405 Butter And Other Fats And Oils Derived From Milk,41292,,,41292,13300,,
"Los Angeles International Airport, CA (Port)",0406 Cheese And Curd,4448184,,,4448184,1156637,,
"Los Angeles International Airport, CA (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",164600,,,164600,13125,,
"Los Angeles International Airport, CA (Port)","0409 Honey, Natural",28838,,,28838,7469,,
"Los Angeles International Airport, CA (Port)","0410 Edible Products Of Animal Origin, Nesoi",772468,,,772468,103718,,
"Los Angeles International Airport, CA (Port)","0501 Human Hair, Unworked And Waste Of Human Hair",16193,,,16193,762,,
"Los Angeles International Airport, CA (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",156099,,,156099,22576,,
"Los Angeles International Airport, CA (Port)",0505 Bird Skins & Other Feathered Parts And Down,468804,,,468804,80100,,
"Los Angeles International Airport, CA (Port)","0506 Bones & Horn-cores, Unworked Etc; Powder & Waste",4350,,,4350,500,,
"Los Angeles International Airport, CA (Port)","0507 Ivory, Tortoise-shell, Whalebone, Horns Etc, Unwrk",37000,,,37000,4000,,
"Los Angeles International Airport, CA (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",18151,,,18151,7612,,
"Los Angeles International Airport, CA (Port)","0510 Ambergris, Castoreum Etc; Glands Etc For Pharmacy",4854,,,4854,50,,
"Los Angeles International Airport, CA (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",3788577,,,3788577,231714,,
"Los Angeles International Airport, CA (Port)","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi",311155,,,311155,12308,,
"Los Angeles International Airport, CA (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",4294248,,,4294248,62796,,
"Los Angeles International Airport, CA (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",53246,,,53246,5856,,
"Los Angeles International Airport, CA (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",200075,,,200075,44162,,
"Los Angeles International Airport, CA (Port)","0701 Potatoes (except Sweet Potatoes), Fresh Or Chilled",32153,,,32153,13307,,
"Los Angeles International Airport, CA (Port)","0702 Tomatoes, Fresh Or Chilled",7812642,,,7812642,4129634,,
"Los Angeles International Airport, CA (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",18916413,,,18916413,15073720,,
"Los Angeles International Airport, CA (Port)","0704 Cabbages, Cauliflower, Kale Etc, Fresh Or Chilled",12250960,,,12250960,8703390,,
"Los Angeles International Airport, CA (Port)","0705 Lettuce And Chicory, Fresh Or Chilled",11925592,,,11925592,6197983,,
"Los Angeles International Airport, CA (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",6641077,,,6641077,4696327,,
"Los Angeles International Airport, CA (Port)","0707 Cucumbers And Gherkins, Fresh Or Chilled",22790,,,22790,9696,,
"Los Angeles International Airport, CA (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",635237,,,635237,234527,,
"Los Angeles International Airport, CA (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",54877586,,,54877586,16084506,,
"Los Angeles International Airport, CA (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",1362970,,,1362970,428690,,
"Los Angeles International Airport, CA (Port)","0711 Vegetables, Temporarily Preserved, Not Now Edible",421005,,,421005,260596,,
"Los Angeles International Airport, CA (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",2227499,,,2227499,432708,,
"Los Angeles International Airport, CA (Port)","0713 Leguminous Vegetables, Dried Shelled",282285,,,282285,142243,,
"Los Angeles International Airport, CA (Port)","0714 Cassava, Arrowroot Etc, Fresh Or Dry; Sago Pith",89083,,,89083,52953,,
"Los Angeles International Airport, CA (Port)","0801 Coconuts, Brazil Nuts & Cashew Nuts, Fresh Or Dry",5487,,,5487,434,,
"Los Angeles International Airport, CA (Port)","0802 Nuts Nesoi, Fresh Or Dried",1215962,,,1215962,213699,,
"Los Angeles International Airport, CA (Port)","0803 Bananas, Including Plantains, Fresh Or Dried",14850,,,14850,21450,,
"Los Angeles International Airport, CA (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",5263648,,,5263648,1961558,,
"Los Angeles International Airport, CA (Port)","0805 Citrus Fruit, Fresh Or Dried",2328701,,,2328701,1237494,,
"Los Angeles International Airport, CA (Port)","0806 Grapes, Fresh Or Dried",24326640,,,24326640,7454223,,
"Los Angeles International Airport, CA (Port)","0807 Melons And Papayas, Fresh",1868595,,,1868595,1339140,,
"Los Angeles International Airport, CA (Port)","0808 Apples, Pears And Quinces, Fresh",33930,,,33930,11460,,
"Los Angeles International Airport, CA (Port)","0809 Apricots, Cherries, Peaches, Plums & Sloes, Fresh",72429936,,,72429936,15463641,,
"Los Angeles International Airport, CA (Port)","0810 Fruit Nesoi, Fresh",69410018,,,69410018,15601691,,
"Los Angeles International Airport, CA (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",9684860,,,9684860,3211019,,
"Los Angeles International Airport, CA (Port)","0812 Fruit & Nuts Temporarily Preserved, Not Now Edible",2379114,,,2379114,1369821,,
"Los Angeles International Airport, CA (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,2449526,,,2449526,800895,,
"Los Angeles International Airport, CA (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",8427,,,8427,6630,,
"Los Angeles International Airport, CA (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,1013271,,,1013271,80389,,
"Los Angeles International Airport, CA (Port)","0902 Tea, Whether Or Not Flavored",533799,,,533799,119010,,
"Los Angeles International Airport, CA (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",24967,,,24967,3879,,
"Los Angeles International Airport, CA (Port)",0905 Vanilla,20672,,,20672,767,,
"Los Angeles International Airport, CA (Port)",0909 Seeds Anise Badian Fennl Coriandr Etc; Junpr Berrs,28624,,,28624,5399,,
"Los Angeles International Airport, CA (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",137922,,,137922,45007,,
"Los Angeles International Airport, CA (Port)",1003 Barley,9220,,,9220,368,,
"Los Angeles International Airport, CA (Port)",1005 Corn (maize),111255,,,111255,35255,,
"Los Angeles International Airport, CA (Port)",1006 Rice,140234,,,140234,144269,,
"Los Angeles International Airport, CA (Port)",1101 Wheat Or Meslin Flour,7461,,,7461,1036,,
"Los Angeles International Airport, CA (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",66694,,,66694,32478,,
"Los Angeles International Airport, CA (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",15869,,,15869,12819,,
"Los Angeles International Airport, CA (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",152899,,,152899,120097,,
"Los Angeles International Airport, CA (Port)",1108 Starches; Inulin,93330,,,93330,82163,,
"Los Angeles International Airport, CA (Port)","1204 Flaxseed (linseed), Whether Or Not Broken",79952,,,79952,59022,,
"Los Angeles International Airport, CA (Port)","1206 Sunflower Seeds, Whether Or Not Broken",148807,,,148807,34221,,
"Los Angeles International Airport, CA (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",39080,,,39080,8184,,
"Los Angeles International Airport, CA (Port)","1209 Seeds, Fruit And Spores, For Sowing",137982207,,,137982207,1923025,,
"Los Angeles International Airport, CA (Port)","1210 Hop Cones, Fresh Or Dried; Lupulin",102182,,,102182,9782,,
"Los Angeles International Airport, CA (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",937134,,,937134,159902,,
"Los Angeles International Airport, CA (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",1395313,,,1395313,246868,,
"Los Angeles International Airport, CA (Port)","1214 Rutabagas, Hay, Clover & Other Forage Products",3563,,,3563,68,,
"Los Angeles International Airport, CA (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",67469,,,67469,9284,,
"Los Angeles International Airport, CA (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,7150215,,,7150215,305563,,
"Los Angeles International Airport, CA (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",2592,,,2592,567,,
"Los Angeles International Airport, CA (Port)",1404 Vegetable Products Nesoi,168254,,,168254,49941,,
"Los Angeles International Airport, CA (Port)","1501 Pig Fat And Poultry Fat Other Than Head 0209, 1503",8728,,,8728,16991,,
"Los Angeles International Airport, CA (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",2312063,,,2312063,91946,,
"Los Angeles International Airport, CA (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,18300,,,18300,5560,,
"Los Angeles International Airport, CA (Port)",1506 Animal Fat & Oil & Fraction Nesoi Nt Chem Modified,25515,,,25515,81114,,
"Los Angeles International Airport, CA (Port)","1507 Soybean Oil & Its Fractions, Not Chemic Modified",26834,,,26834,6588,,
"Los Angeles International Airport, CA (Port)","1508 Peanut Oil & Its Fractions, Not Chemicaly Modified",74900,,,74900,45886,,
"Los Angeles International Airport, CA (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",3510,,,3510,475,,
"Los Angeles International Airport, CA (Port)","1512 Sunfl-seed, Safflow Or Cottonsd Oil Etc, No Ch Mod",13327,,,13327,11547,,
"Los Angeles International Airport, CA (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",105973,,,105973,54187,,
"Los Angeles International Airport, CA (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",1496775,,,1496775,136618,,
"Los Angeles International Airport, CA (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",248641,,,248641,107737,,
"Los Angeles International Airport, CA (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,218509,,,218509,39395,,
"Los Angeles International Airport, CA (Port)","1520 Glycerol (glycerine), Glycerol Waters And Lyes",5956,,,5956,596,,
"Los Angeles International Airport, CA (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",41023,,,41023,12756,,
"Los Angeles International Airport, CA (Port)","1601 Sausages, Similar Prdt Meat Etc Food Prep Of These",38177,,,38177,10846,,
"Los Angeles International Airport, CA (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",832263,,,832263,233604,,
"Los Angeles International Airport, CA (Port)","1603 Extracts Etc. Of Meat, Fish, Crustaceans, Etc.",43813,,,43813,16114,,
"Los Angeles International Airport, CA (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,732647,,,732647,90731,,
"Los Angeles International Airport, CA (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",5174335,,,5174335,575821,,
